t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,effort_status
13.900000,-0.276039,0.923588,0.000536,0.074881,0,0.000017,0.097313,0.062085,1.331319,12.386602,0.688124,0.043466,1.624995,0.169179,0,15.649084,stable
14,-0.134077,0.926469,0.001963,0.072069,0,0.000017,0.118057,0.059714,1.340014,12.549513,0.696847,0.062510,1.624995,0.190190,0,16.384212,stable
14.100000,0.065150,0.928852,0.000894,0.068749,0,0.000017,0.141821,0.056923,1.348846,16.363267,0.661878,0.062842,1.622671,0.207436,0,16.294512,stable
14.200000,0.040217,0.926365,0.000688,0.064882,0,0.000017,0.168818,0.053679,1.356866,15.404556,0.672217,0.059595,1.622671,0.237637,0,16.093016,stable
14.300000,-0.060714,0.916137,0.000930,0.060459,0,0.000017,0.199981,0.049974,1.363300,16.104733,0.669920,0.048817,1.622671,0.269975,0,15.896442,stable
14.400000,-0.019270,0.899078,0.000399,0.055514,0,0.000017,0.235634,0.045836,1.367451,16.114183,0.666563,0.024011,1.622671,0.311632,0,15.768177,stable
14.500000,0.116197,0.880554,-0.000744,0.050136,0,0.000017,0.275827,0.041339,1.368874,16.070823,0.662151,0.047542,1.622671,0.356529,0,15.641965,stable
14.600000,0.130145,0.868472,-0.000952,0.044470,0,0.000018,0.325633,0.036603,1.367454,16.429343,0.680772,0.025367,1.620353,0.401931,0,15.627704,stable
14.700000,0.074390,0.869010,-0.000090,0.038710,0,0.000017,0.383009,0.031792,1.363276,16.245541,0.659348,0.031257,1.620353,0.498056,0,15.613468,stable
14.800000,0.023046,0.882722,-0.000117,0.033070,0,0.000017,0.438665,0.027085,1.356813,16.361761,0.648422,0.020991,1.620353,0.573762,0,15.521388,stable
14.900000,-0.005981,0.904370,-0.000534,0.027755,0,0.000017,0.489105,0.022656,1.348758,16.178055,0.653601,0.012557,1.620353,0.556560,0,15.430388,stable
15,-0.017852,0.926469,-0.000755,0.022926,0,0.000017,0.531309,0.018638,1.339936,16.079874,0.654527,0.011674,1.620353,0.504402,0,15.521388,stable
15.100000,-0.020600,0.943205,-0.000725,0.018683,0,0.000018,0.563217,0.015119,1.331225,15.991705,0.658982,0.009911,1.617877,0.422040,0,15.462343,stable
15.200000,-0.018938,0.952136,-0.000549,0.015063,0,0.000017,0.583966,0.012126,1.323458,15.892804,0.675781,0.007302,1.617877,0.319074,0,15.446349,stable
15.300000,-0.014873,0.953688,-0.000326,0.012050,0,0.000017,0.593798,0.009645,1.317357,15.790558,0.681261,0.007386,1.617877,0.207496,0,15.430388,stable
15.400000,-0.010156,0.949772,-0.000113,0.009591,0,0.000017,0.593759,0.007630,1.313468,15.688515,0.680278,0.006435,1.617877,0.098315,0,15.446349,transitoire
15.500000,-0.006404,0.942661,0.000061,0.007615,0,0.000017,0.585365,0.006019,1.312133,15.587317,0.681729,0.005057,1.617877,-0.000393,0,15.462343,transitoire
15.600000,-0.005306,0.934548,0.000184,0.006046,0,0.000017,0.575909,0.004747,1.313468,15.487391,0.680894,0.005854,1.615522,-0.083940,0,15.537538,chronique
15.700000,-0.008057,0.927558,0.000239,0.004809,0,0.000017,0.566527,0.003751,1.317357,15.389056,0.676611,0.005446,1.615522,-0.094559,0,15.613468,chronique
15.800000,-0.002454,0.923592,0.000191,0.003841,0,0.000017,0.552146,0.002975,1.323459,15.292443,0.685050,0.002520,1.615522,-0.093820,0,15.627704,chronique
